"datetime","main.aqi","components.co","components.no","components.no2","components.o3","components.so2","components.pm2_5","components.pm10","components.nh3","coord.lon","coord.lat","extraction_date_time","city_name"
"2023-12-03 08:33:29+08:00",2.0,514.03,1.27,11.82,41.84,2.65,12.49,15.36,18.24,125.0894,7.0083,"2023-12-03 08:33:30.089247+08:00","Kidapawan"
"2023-12-03 08:33:32+08:00",2.0,647.54,1.13,12.68,39.34,2.68,19.98,23.51,23.05,124.8469,6.5031,"2023-12-03 08:33:32.319126+08:00","Koronadal"
"2023-12-03 08:33:33+08:00",1.0,216.96,0.19,1.19,58.65,2.15,3.91,5.47,0.49,122.9208,10.4233,"2023-12-03 08:33:33.912201+08:00","La Carlota"
"2023-12-03 08:33:35+08:00",1.0,196.93,0.1,1.97,36.12,0.66,0.76,0.88,0.55,125.7022,6.0872,"2023-12-03 08:33:35.726287+08:00","Lamitan"
"2023-12-03 08:33:37+08:00",2.0,273.71,0.12,0.95,77.25,0.27,1.25,1.5,0.78,120.5936,18.1989,"2023-12-03 08:33:37.857550+08:00","Laoag"
"2023-12-03 08:33:39+08:00",1.0,240.33,0.53,2.55,47.21,3.01,2.78,3.96,1.74,123.9494,10.3103,"2023-12-03 08:33:39.890620+08:00","Lapu-Lapu City"
"2023-12-03 08:33:42+08:00",2.0,473.98,2.15,12.34,65.8,8.94,9.5,18.76,4.75,120.9828,14.4506,"2023-12-03 08:33:42.299993+08:00","Las Piñas"
"2023-12-03 08:33:44+08:00",1.0,213.62,0.1,1.59,58.65,7.63,3.16,3.76,0.46,123.7333,13.1333,"2023-12-03 08:33:44.774451+08:00","Legazpi City"
"2023-12-03 08:33:46+08:00",1.0,206.95,0.08,0.64,59.37,8.11,3.59,4.14,0.52,123.5325,13.2403,"2023-12-03 08:33:46.312239+08:00","Ligao"
"2023-12-03 08:33:48+08:00",2.0,240.33,0.42,2.83,66.52,1.82,3.2,8.51,1.66,121.1667,13.95,"2023-12-03 08:33:48.826305+08:00","Lipa City"
"2023-12-03 08:33:50+08:00",1.0,240.33,0.09,1.74,49.35,0.86,3.46,4.6,1.0,122.5967,10.8794,"2023-12-03 08:33:50.591630+08:00","Lucena"
"2023-12-03 08:33:51+08:00",1.0,240.33,0.09,1.74,49.35,0.86,3.46,4.6,1.0,122.4347,10.8925,"2023-12-03 08:33:52.124919+08:00","Maasin"
"2023-12-03 08:33:54+08:00",2.0,273.71,0.18,1.11,66.52,0.32,2.97,4.2,1.43,120.5736,15.2216,"2023-12-03 08:33:54.271726+08:00","Mabalacat City"
"2023-12-03 08:33:56+08:00",2.0,674.25,3.3,16.97,57.94,16.93,12.25,22.07,7.79,121.0327,14.5503,"2023-12-03 08:33:56.639917+08:00","Makati City"
"2023-12-03 08:33:58+08:00",2.0,220.3,0.08,0.63,78.68,0.47,0.91,1.63,0.42,119.9379,15.6361,"2023-12-03 08:33:58.612850+08:00","Malabon"
"2023-12-03 08:33:59+08:00",1.0,203.61,0.07,1.78,38.62,0.25,1.12,1.56,1.06,125.0833,8.15,"2023-12-03 08:34:00.177297+08:00","Malaybalay"
"2023-12-03 08:34:01+08:00",2.0,343.8,0.55,3.47,67.23,1.49,5.86,8.89,2.69,120.8117,14.8419,"2023-12-03 08:34:01.990474+08:00","Malolos"
"2023-12-03 08:34:03+08:00",2.0,674.25,3.3,16.97,57.94,16.93,12.25,22.07,7.79,121.0409,14.5832,"2023-12-03 08:34:03.587032+08:00","Mandaluyong City"
"2023-12-03 08:34:04+08:00",1.0,240.33,0.53,2.55,47.21,3.01,2.78,3.96,1.74,123.9333,10.3333,"2023-12-03 08:34:05.016230+08:00","Mandaue City"
"2023-12-03 08:34:06+08:00",2.0,333.79,0.79,4.84,67.95,3.4,5.42,9.81,2.91,120.9822,14.6042,"2023-12-03 08:34:06.829193+08:00","Manila"
"2023-12-03 08:34:08+08:00",1.0,320.44,0.27,4.11,31.83,1.18,6.31,7.36,4.37,124.2928,7.9986,"2023-12-03 08:34:08.981072+08:00","Marawi"
"2023-12-03 08:34:11+08:00",1.0,198.6,0.11,2.23,57.22,1.18,1.62,1.98,0.15,125.4708,9.7339,"2023-12-03 08:34:11.430900+08:00","Mati"
"2023-12-03 08:34:13+08:00",2.0,333.79,0.79,4.84,67.95,3.4,5.42,9.81,2.91,120.9608,14.7369,"2023-12-03 08:34:14.089506+08:00","Meycauayan"
"2023-12-03 08:34:16+08:00",2.0,303.75,0.35,1.93,60.8,0.54,3.15,4.27,2.19,120.9031,15.7161,"2023-12-03 08:34:16.441290+08:00","Muñoz"
"2023-12-03 08:34:17+08:00",2.0,195.27,0.03,0.33,62.94,3.28,3.41,4.56,0.17,123.1814,13.6192,"2023-12-03 08:34:18.355156+08:00","Naga"
"2023-12-03 08:34:19+08:00",2.0,333.79,0.79,4.84,67.95,3.4,5.42,9.81,2.91,120.95,14.6667,"2023-12-03 08:34:20.218729+08:00","Navotas"
"2023-12-03 08:34:21+08:00",2.0,230.31,0.11,0.68,67.23,0.78,2.11,3.53,0.61,120.2828,14.8292,"2023-12-03 08:34:22.086840+08:00","Olongapo"
"2023-12-03 08:34:24+08:00",1.0,226.97,0.08,1.8,36.12,0.43,1.98,2.71,0.91,124.6075,11.0064,"2023-12-03 08:34:24.851971+08:00","Ormoc"
"2023-12-03 08:34:27+08:00",1.0,188.59,0.03,0.46,55.08,0.27,0.91,1.06,0.06,123.8044,8.4858,"2023-12-03 08:34:27.683631+08:00","Oroquieta"
"2023-12-03 08:34:28+08:00",1.0,205.28,0.14,1.69,38.98,0.51,0.82,1.06,0.46,123.8333,8.15,"2023-12-03 08:34:28.971232+08:00","Ozamiz City"
"2023-12-03 08:34:30+08:00",1.0,327.11,0.69,5.83,23.96,1.43,5.06,6.48,7.16,123.43700000000001,7.8257,"2023-12-03 08:34:30.663034+08:00","Pagadian"
"2023-12-03 08:34:32+08:00",2.0,277.04,0.25,1.48,60.8,0.47,3.13,4.18,1.43,121.0833,15.55,"2023-12-03 08:34:32.733643+08:00","Palayan City"
"2023-12-03 08:34:35+08:00",1.0,211.95,0.23,1.61,42.2,0.45,0.72,1.01,0.58,125.6842,7.3081,"2023-12-03 08:34:35.377133+08:00","Panabo"
"2023-12-03 08:34:37+08:00",2.0,674.25,3.3,16.97,57.94,16.93,12.25,22.07,7.79,121.0175,14.4816,"2023-12-03 08:34:38.161937+08:00","Paranaque City"
"2023-12-03 08:34:39+08:00",2.0,674.25,3.3,16.97,57.94,16.93,12.25,22.07,7.79,121.065,14.587,"2023-12-03 08:34:39.945800+08:00","Pasig"
"2023-12-03 08:34:41+08:00",1.0,208.62,0.1,1.26,56.51,0.67,2.25,3.03,0.12,118.7333,9.7333,"2023-12-03 08:34:41.873652+08:00","Puerto Princesa City"
"2023-12-03 08:34:43+08:00",2.0,317.1,0.95,5.23,63.66,5.72,4.38,9.97,2.66,121.0333,14.6333,"2023-12-03 08:34:43.916210+08:00","Quezon City"
"2023-12-03 08:34:46+08:00",1.0,347.14,0.05,2.55,36.84,0.3,4.93,5.58,1.44,121.6201,17.1189,"2023-12-03 08:34:46.400972+08:00","Roxas"
"2023-12-03 08:34:48+08:00",1.0,190.26,0.06,0.35,56.51,1.24,2.26,3.46,0.0,123.4242,10.9447,"2023-12-03 08:34:48.342438+08:00","Sagay"
"2023-12-03 08:34:50+08:00",2.0,283.72,0.42,2.53,69.38,1.74,3.85,6.41,1.49,120.5431,14.7678,"2023-12-03 08:34:50.869616+08:00","Samal"
"2023-12-03 08:34:52+08:00",2.0,280.38,0.24,1.37,63.66,0.47,2.97,4.03,1.54,120.8931,15.5448,"2023-12-03 08:34:52.737471+08:00","San Carlos"
"2023-12-03 08:34:54+08:00",2.0,300.41,0.1,0.92,62.94,0.81,6.01,8.29,1.39,120.3166,16.6159,"2023-12-03 08:34:54.975014+08:00","San Fernando"
"2023-12-03 08:34:56+08:00",1.0,343.8,0.31,2.31,35.76,0.3,6.43,7.14,1.68,121.8712,17.8927,"2023-12-03 08:34:56.953449+08:00","San Jose"
"2023-12-03 08:34:58+08:00",1.0,350.48,0.74,4.16,55.08,1.73,6.68,10.65,3.58,121.0453,14.8139,"2023-12-03 08:34:58.954645+08:00","San Jose del Monte"
"2023-12-03 08:35:01+08:00",2.0,317.1,0.18,1.27,68.67,0.35,2.74,3.2,2.47,120.4583,17.7422,"2023-12-03 08:35:01.261366+08:00","San Juan"
"2023-12-03 08:35:02+08:00",2.0,353.81,0.85,4.88,68.67,2.74,4.93,7.53,2.31,120.6197,14.9696,"2023-12-03 08:35:03.053888+08:00","San Pablo"
"2023-12-03 08:35:05+08:00",2.0,587.46,0.36,7.45,13.41,0.87,16.39,18.02,6.78,121.8833,17.2,"2023-12-03 08:35:06.031997+08:00","San Pedro"
"2023-12-03 08:35:07+08:00",2.0,280.38,0.24,1.37,63.66,0.47,2.97,4.03,1.54,120.9378,15.4238,"2023-12-03 08:35:07.811252+08:00","Santa Rosa"
"2023-12-03 08:35:09+08:00",1.0,267.03,0.12,0.73,55.79,0.31,1.6,1.89,1.68,120.4449,17.2939,"2023-12-03 08:35:09.996455+08:00","Santiago"
"2023-12-03 08:35:11+08:00",1.0,353.81,0.1,2.46,40.05,0.32,5.6,6.18,1.41,121.7645,17.3997,"2023-12-03 08:35:11.963846+08:00","Santo Tomas"
"2023-12-03 08:35:13+08:00",1.0,201.94,0.06,0.66,57.94,2.12,3.83,5.28,0.15,122.9667,10.8,"2023-12-03 08:35:13.742638+08:00","Silay City"
"2023-12-03 08:35:16+08:00",2.0,230.31,0.21,1.25,60.8,0.89,2.71,3.52,1.09,122.4042,9.7519,"2023-12-03 08:35:16.464197+08:00","Sipalay"
"2023-12-03 08:35:18+08:00",1.0,198.6,0.11,2.23,57.22,1.18,1.62,1.98,0.15,125.5,9.75,"2023-12-03 08:35:18.328150+08:00","Surigao City"
"2023-12-03 08:35:20+08:00",1.0,205.28,0.04,1.25,51.5,7.51,3.53,4.38,0.52,123.7336,13.3586,"2023-12-03 08:35:20.573583+08:00","Tabaco"
"2023-12-03 08:35:23+08:00",1.0,343.8,0.19,1.95,25.03,0.37,7.09,7.57,3.01,121.4443,17.4189,"2023-12-03 08:35:23.263361+08:00","Tabuk"
"2023-12-03 08:35:25+08:00",1.0,191.93,0.07,0.57,36.48,0.21,1.61,2.24,0.34,125.0,11.25,"2023-12-03 08:35:25.655497+08:00","Tacloban City"
"2023-12-03 08:35:28+08:00",1.0,343.8,0.17,2.34,43.27,0.35,7.24,8.15,3.07,124.6764,6.6925,"2023-12-03 08:35:28.332364+08:00","Tacurong"
"2023-12-03 08:35:30+08:00",2.0,293.73,1.17,7.37,61.51,8.7,4.61,10.13,1.92,120.9337,14.1059,"2023-12-03 08:35:30.446055+08:00","Tagaytay City"
"2023-12-03 08:35:31+08:00",2.0,674.25,3.3,16.97,57.94,16.93,12.25,22.07,7.79,121.0792,14.5243,"2023-12-03 08:35:32.111234+08:00","Taguig"
"2023-12-03 08:35:33+08:00",2.0,195.27,0.02,0.37,61.51,0.26,3.75,6.79,0.07,122.9226,14.1343,"2023-12-03 08:35:33.853037+08:00","Talisay"
"2023-12-03 08:35:36+08:00",2.0,270.37,0.94,6.17,63.66,7.51,3.93,9.95,1.74,121.1498,14.0863,"2023-12-03 08:35:36.717290+08:00","Tanauan"
"2023-12-03 08:35:39+08:00",1.0,195.27,0.02,0.51,43.99,0.09,0.8,1.05,0.29,126.1986,9.0783,"2023-12-03 08:35:39.615080+08:00","Tandag"
"2023-12-03 08:35:42+08:00",1.0,201.94,0.06,0.66,57.94,2.12,3.83,5.28,0.15,122.9306,10.6339,"2023-12-03 08:35:42.260610+08:00","Tangub"
"2023-12-03 08:35:43+08:00",1.0,200.27,0.13,0.99,50.78,0.61,1.93,2.37,0.54,123.1583,9.5153,"2023-12-03 08:35:43.894712+08:00","Tanjay"
"2023-12-03 08:35:46+08:00",2.0,277.04,0.22,1.35,69.38,0.37,2.71,3.88,1.44,120.5986,15.4889,"2023-12-03 08:35:46.434100+08:00","Tarlac City"
"2023-12-03 08:35:48+08:00",2.0,201.94,0.17,1.23,61.51,1.03,2.5,7.46,0.4,121.5911,14.0289,"2023-12-03 08:35:49.207335+08:00","Tayabas"
